corps,event_name,date,location,chief_judge,season,total_score,total_rank,color_guard_achievement_judge,color_guard_achievement_rank,color_guard_achievement_score,color_guard_content_judge,color_guard_content_rank,color_guard_content_score,general_effect_1_performance_judge,general_effect_1_performance_rank,general_effect_1_performance_score,general_effect_1_repertoire_judge,general_effect_1_repertoire_rank,general_effect_1_repertoire_score,general_effect_2_performance_judge,general_effect_2_performance_rank,general_effect_2_performance_score,general_effect_2_repertoire_judge,general_effect_2_repertoire_rank,general_effect_2_repertoire_score,music_analysis_achievement_judge,music_analysis_achievement_rank,music_analysis_achievement_score,music_analysis_content_judge,music_analysis_content_rank,music_analysis_content_score,music_brass_achievement_judge,music_brass_achievement_rank,music_brass_achievement_score,music_brass_content_judge,music_brass_content_rank,music_brass_content_score,music_brass_continuity_judge,music_brass_continuity_rank,music_brass_continuity_score,music_percussion_achievement_judge,music_percussion_achievement_rank,music_percussion_achievement_score,music_percussion_content_judge,music_percussion_content_rank,music_percussion_content_score,music_percussion_continuity_judge,music_percussion_continuity_rank,music_percussion_continuity_score,penalties_judge,penalties_rank,penalties_score,special_brass_friday_judge,special_brass_friday_rank,special_brass_friday_score,special_brass_thursday_judge,special_brass_thursday_rank,special_brass_thursday_score,special_cg_friday_judge,special_cg_friday_rank,special_cg_friday_score,special_cg_thursday_judge,special_cg_thursday_rank,special_cg_thursday_score,special_ge_friday_judge,special_ge_friday_rank,special_ge_friday_score,special_ge_thursday_judge,special_ge_thursday_rank,special_ge_thursday_score,special_perc_friday_judge,special_perc_friday_rank,special_perc_friday_score,special_perc_thursday_judge,special_perc_thursday_rank,special_perc_thursday_score,special_visual_proficiency_friday_judge,special_visual_proficiency_friday_rank,special_visual_proficiency_friday_score,special_visual_proficiency_thursday_judge,special_visual_proficiency_thursday_rank,special_visual_proficiency_thursday_score,visual_analysis_achievement_judge,visual_analysis_achievement_rank,visual_analysis_achievement_score,visual_analysis_composition_judge,visual_analysis_composition_rank,visual_analysis_composition_score,visual_proficiency_achievement_judge,visual_proficiency_achievement_rank,visual_proficiency_achievement_score,visual_proficiency_content_judge,visual_proficiency_content_rank,visual_proficiency_content_score,visual_proficiency_continuity_judge,visual_proficiency_continuity_rank,visual_proficiency_continuity_score
Blue Devils,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,97.075,3,Robert Solomon,3.0,9.65,Robert Solomon,2.0,9.8,Damon Padilla,3.0,9.7,Damon Padilla,2.0,9.8,Jodie Rhodes,3.0,9.7,Jodie Rhodes,2.0,9.7,Dave Carbone,3.0,9.7,Dave Carbone,3.0,9.7,Bryan Crisp,3.0,9.6,Bryan Crisp,2.0,9.8,,,,Mike Leitzke,5.0,9.4,Mike Leitzke,3.0,9.75,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,3.0,9.7,Travis Wingate,2.0,9.8,Chris Moss,2.0,9.8,Chris Moss,2.0,9.8,,,
Blue Stars,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,91.6,8,Robert Solomon,7.0,9.3,Robert Solomon,5.0,9.5,Damon Padilla,8.0,9.2,Damon Padilla,8.0,9.2,Jodie Rhodes,8.0,9.25,Jodie Rhodes,8.0,9.2,Dave Carbone,7.0,9.2,Dave Carbone,7.0,9.3,Bryan Crisp,7.0,9.2,Bryan Crisp,7.0,9.3,,,,Mike Leitzke,11.0,8.7,Mike Leitzke,10.0,9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,8.0,9.1,Travis Wingate,7.0,9.2,Chris Moss,8.0,8.9,Chris Moss,8.0,9,,,
Bluecoats,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,98.75,1,Robert Solomon,2.0,9.8,Robert Solomon,3.0,9.7,Damon Padilla,1.0,9.9,Damon Padilla,1.0,9.9,Jodie Rhodes,1.0,9.9,Jodie Rhodes,1.0,9.9,Dave Carbone,1.0,9.9,Dave Carbone,1.0,10,Bryan Crisp,2.0,9.75,Bryan Crisp,1.0,9.85,,,,Mike Leitzke,3.0,9.55,Mike Leitzke,1.0,9.9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,1.0,10,Travis Wingate,1.0,10,Chris Moss,1.0,9.9,Chris Moss,1.0,9.9,,,
Boston Crusaders,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,97.413,2,Robert Solomon,1.0,9.9,Robert Solomon,1.0,9.9,Damon Padilla,2.0,9.8,Damon Padilla,4.0,9.6,Jodie Rhodes,2.0,9.8,Jodie Rhodes,3.0,9.65,Dave Carbone,2.0,9.8,Dave Carbone,2.0,9.8,Bryan Crisp,4.0,9.55,Bryan Crisp,4.0,9.6,,,,Mike Leitzke,2.0,9.65,Mike Leitzke,4.0,9.7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,2.0,9.9,Travis Wingate,3.0,9.7,Chris Moss,3.0,9.7,Chris Moss,3.0,9.7,,,
Carolina Crown,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,95.025,5,Robert Solomon,4.0,9.6,Robert Solomon,4.0,9.6,Damon Padilla,5.0,9.5,Damon Padilla,6.0,9.4,Jodie Rhodes,5.0,9.45,Jodie Rhodes,4.0,9.5,Dave Carbone,4.0,9.6,Dave Carbone,5.0,9.5,Bryan Crisp,1.0,9.8,Bryan Crisp,3.0,9.65,,,,Mike Leitzke,6.0,9.2,Mike Leitzke,7.0,9.25,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,4.0,9.5,Travis Wingate,6.0,9.3,Chris Moss,5.0,9.5,Chris Moss,4.0,9.5,,,
Colts,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,89.775,9,Robert Solomon,8.0,9.2,Robert Solomon,9.0,9,Damon Padilla,10.0,9,Damon Padilla,9.0,9,Jodie Rhodes,10.0,9,Jodie Rhodes,9.0,9.15,Dave Carbone,9.0,9,Dave Carbone,9.0,9.1,Bryan Crisp,11.0,8.7,Bryan Crisp,10.0,9,,,,Mike Leitzke,9.0,8.9,Mike Leitzke,11.0,8.9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,9.0,9,Travis Wingate,9.0,8.9,Chris Moss,9.0,8.8,Chris Moss,9.0,8.9,,,
Madison Scouts,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,87.05,12,Robert Solomon,10.0,8.9,Robert Solomon,11.0,8.8,Damon Padilla,11.0,8.9,Damon Padilla,12.0,8.7,Jodie Rhodes,11.0,8.8,Jodie Rhodes,11.0,8.8,Dave Carbone,11.0,8.8,Dave Carbone,12.0,8.7,Bryan Crisp,12.0,8.6,Bryan Crisp,12.0,8.8,,,,Mike Leitzke,12.0,8.4,Mike Leitzke,12.0,8.6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,11.0,8.7,Travis Wingate,11.0,8.7,Chris Moss,11.0,8.6,Chris Moss,12.0,8.5,,,
Mandarins,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,92.15,7,Robert Solomon,9.0,9.1,Robert Solomon,8.0,9.2,Damon Padilla,7.0,9.3,Damon Padilla,5.0,9.5,Jodie Rhodes,7.0,9.3,Jodie Rhodes,7.0,9.3,Dave Carbone,8.0,9.1,Dave Carbone,8.0,9.2,Bryan Crisp,8.0,9.1,Bryan Crisp,8.0,9.2,,,,Mike Leitzke,10.0,8.8,Mike Leitzke,8.0,9.2,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,7.0,9.2,Travis Wingate,8.0,9,Chris Moss,6.0,9.2,Chris Moss,6.0,9.3,,,
Phantom Regiment,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,95.225,4,Robert Solomon,5.0,9.5,Robert Solomon,6.0,9.4,Damon Padilla,4.0,9.6,Damon Padilla,3.0,9.7,Jodie Rhodes,4.0,9.5,Jodie Rhodes,5.0,9.4,Dave Carbone,5.0,9.4,Dave Carbone,4.0,9.6,Bryan Crisp,5.0,9.4,Bryan Crisp,5.0,9.5,,,,Mike Leitzke,4.0,9.5,Mike Leitzke,5.0,9.5,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,5.0,9.4,Travis Wingate,4.0,9.6,Chris Moss,4.0,9.6,Chris Moss,7.0,9.2,,,
Santa Clara Vanguard,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,93.925,6,Robert Solomon,6.0,9.4,Robert Solomon,7.0,9.3,Damon Padilla,6.0,9.4,Damon Padilla,7.0,9.3,Jodie Rhodes,6.0,9.4,Jodie Rhodes,6.0,9.35,Dave Carbone,6.0,9.3,Dave Carbone,6.0,9.4,Bryan Crisp,6.0,9.3,Bryan Crisp,6.0,9.4,,,,Mike Leitzke,1.0,9.7,Mike Leitzke,2.0,9.8,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,6.0,9.3,Travis Wingate,5.0,9.4,Chris Moss,7.0,9,Chris Moss,5.0,9.4,,,
The Cavaliers,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,87.5,11,Robert Solomon,11.0,8.7,Robert Solomon,10.0,8.9,Damon Padilla,12.0,8.8,Damon Padilla,10.0,8.9,Jodie Rhodes,12.0,8.7,Jodie Rhodes,12.0,8.6,Dave Carbone,12.0,8.6,Dave Carbone,11.0,8.8,Bryan Crisp,10.0,8.9,Bryan Crisp,11.0,8.9,,,,Mike Leitzke,8.0,9,Mike Leitzke,6.0,9.3,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,12.0,8.5,Travis Wingate,10.0,8.8,Chris Moss,12.0,8.4,Chris Moss,10.0,8.8,,,
Troopers,DCI World Championship Finals,2024-08-10,"Indianapolis, IN",John Phillips,2024,88.95,10,Robert Solomon,12.0,8.6,Robert Solomon,12.0,8.7,Damon Padilla,9.0,9.1,Damon Padilla,11.0,8.8,Jodie Rhodes,9.0,9.1,Jodie Rhodes,10.0,9,Dave Carbone,10.0,8.9,Dave Carbone,10.0,9,Bryan Crisp,9.0,9,Bryan Crisp,9.0,9.1,,,,Mike Leitzke,7.0,9.1,Mike Leitzke,9.0,9.1,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travis Wingate,10.0,8.9,Travis Wingate,12.0,8.6,Chris Moss,10.0,8.7,Chris Moss,11.0,8.7,,,
Blue Devils,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,96.55,3,Warren Rickart,3.0,9.6,Warren Rickart,2.0,9.8,Greg Llacer,5.0,9.4,Greg Llacer,3.0,9.6,Gerry Miller,4.0,9.55,Gerry Miller,4.0,9.5,Marty Griffin,4.0,9.5,Marty Griffin,3.0,9.7,Steven Page,1.0,9.75,Steven Page,2.0,9.7,,,,Mark Teal,3.0,9.75,Mark Teal,4.0,9.75,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,3.0,9.6,Jim Sturgeon,2.0,9.8,Michael Turner,1.0,9.7,Michael Turner,1.0,9.7,,,
Blue Devils B,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,81.075,20,Warren Rickart,18.0,8.25,Warren Rickart,19.0,8.15,Greg Llacer,19.0,8,Greg Llacer,20.0,8.1,Gerry Miller,19.0,8.1,Gerry Miller,19.0,8.2,Marty Griffin,19.0,8,Marty Griffin,20.0,8.1,Steven Page,19.0,7.9,Steven Page,19.0,8,,,,Mark Teal,20.0,8.3,Mark Teal,20.0,8.4,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,17.0,8.3,Jim Sturgeon,18.0,8.3,Michael Turner,18.0,7.9,Michael Turner,18.0,8,,,
Blue Knights,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,85.6,14,Warren Rickart,14.0,8.6,Warren Rickart,13.0,8.7,Greg Llacer,14.0,8.55,Greg Llacer,12.0,8.65,Gerry Miller,15.0,8.4,Gerry Miller,14.0,8.55,Marty Griffin,14.0,8.5,Marty Griffin,14.0,8.7,Steven Page,15.0,8.4,Steven Page,15.0,8.5,,,,Mark Teal,15.0,8.65,Mark Teal,13.0,8.9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,15.0,8.4,Jim Sturgeon,13.0,8.7,Michael Turner,14.0,8.4,Michael Turner,14.0,8.4,,,
Blue Stars,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,91.5,8,Warren Rickart,5.0,9.4,Warren Rickart,6.0,9.4,Greg Llacer,7.0,9.2,Greg Llacer,8.0,9,Gerry Miller,7.0,9.2,Gerry Miller,8.0,9.2,Marty Griffin,9.0,9,Marty Griffin,8.0,9.3,Steven Page,8.0,9.1,Steven Page,8.0,9.2,,,,Mark Teal,11.0,9.1,Mark Teal,11.0,9.2,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,9.0,8.95,Jim Sturgeon,8.0,9.1,Michael Turner,8.0,8.95,Michael Turner,8.0,9,,,
Bluecoats,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,97.925,1,Warren Rickart,2.0,9.8,Warren Rickart,3.0,9.7,Greg Llacer,1.0,9.8,Greg Llacer,1.0,9.8,Gerry Miller,1.0,9.8,Gerry Miller,1.0,9.9,Marty Griffin,1.0,9.8,Marty Griffin,1.0,9.9,Steven Page,2.0,9.7,Steven Page,1.0,9.8,,,,Mark Teal,4.0,9.65,Mark Teal,3.0,9.8,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,1.0,9.8,Jim Sturgeon,1.0,9.9,Michael Turner,2.0,9.6,Michael Turner,2.0,9.65,,,
Boston Crusaders,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,97.0,2,Warren Rickart,1.0,9.9,Warren Rickart,1.0,9.9,Greg Llacer,2.0,9.6,Greg Llacer,2.0,9.7,Gerry Miller,2.0,9.7,Gerry Miller,2.0,9.8,Marty Griffin,2.0,9.7,Marty Griffin,2.0,9.8,Steven Page,4.0,9.6,Steven Page,4.0,9.6,,,,Mark Teal,2.0,9.8,Mark Teal,2.0,9.85,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,2.0,9.7,Jim Sturgeon,4.0,9.5,Michael Turner,4.0,9.4,Michael Turner,4.0,9.5,,,
Carolina Crown,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,94.75,5,Warren Rickart,4.0,9.5,Warren Rickart,4.0,9.5,Greg Llacer,3.0,9.5,Greg Llacer,5.0,9.3,Gerry Miller,5.0,9.5,Gerry Miller,5.0,9.4,Marty Griffin,3.0,9.6,Marty Griffin,5.0,9.5,Steven Page,3.0,9.65,Steven Page,3.0,9.65,,,,Mark Teal,6.0,9.55,Mark Teal,6.0,9.65,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,4.0,9.5,Jim Sturgeon,6.0,9.3,Michael Turner,5.0,9.3,Michael Turner,7.0,9.05,,,
Colts,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,90.175,9,Warren Rickart,9.0,9.1,Warren Rickart,10.0,8.9,Greg Llacer,9.0,8.9,Greg Llacer,9.0,8.9,Gerry Miller,9.0,8.9,Gerry Miller,9.0,9,Marty Griffin,8.0,9.1,Marty Griffin,10.0,9.1,Steven Page,9.0,9.05,Steven Page,10.0,9.05,,,,Mark Teal,10.0,9.2,Mark Teal,9.0,9.3,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,8.0,9,Jim Sturgeon,9.0,9,Michael Turner,9.0,8.8,Michael Turner,9.0,8.9,,,
Crossmen,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,84.875,15,Warren Rickart,13.0,8.7,Warren Rickart,16.0,8.4,Greg Llacer,15.0,8.5,Greg Llacer,16.0,8.4,Gerry Miller,14.0,8.5,Gerry Miller,15.0,8.5,Marty Griffin,16.0,8.3,Marty Griffin,17.0,8.4,Steven Page,13.0,8.6,Steven Page,13.0,8.7,,,,Mark Teal,18.0,8.45,Mark Teal,18.0,8.55,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,13.0,8.6,Jim Sturgeon,15.0,8.6,Michael Turner,16.0,8.2,Michael Turner,17.0,8.1,,,
Genesis,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,77.55,22,Warren Rickart,22.0,7.7,Warren Rickart,22.0,7.8,Greg Llacer,21.0,7.7,Greg Llacer,21.0,7.8,Gerry Miller,23.0,7.6,Gerry Miller,23.0,7.9,Marty Griffin,21.0,7.7,Marty Griffin,21.0,7.9,Steven Page,20.0,7.8,Steven Page,20.0,7.8,,,,Mark Teal,22.0,7.7,Mark Teal,22.0,7.7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,21.0,7.9,Jim Sturgeon,22.0,7.8,Michael Turner,23.0,7.5,Michael Turner,24.0,7.4,,,
Gold,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,77.8,21,Warren Rickart,21.0,7.85,Warren Rickart,21.0,7.95,Greg Llacer,23.0,7.4,Greg Llacer,25.0,7.3,Gerry Miller,20.0,7.9,Gerry Miller,20.0,8.1,Marty Griffin,22.0,7.6,Marty Griffin,22.0,7.8,Steven Page,22.0,7.5,Steven Page,22.0,7.6,,,,Mark Teal,21.0,8.1,Mark Teal,21.0,8.2,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,22.0,7.7,Jim Sturgeon,23.0,7.7,Michael Turner,21.0,7.65,Michael Turner,21.0,7.7,,,
Jersey Surf,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,74.425,24,Warren Rickart,23.0,7.6,Warren Rickart,25.0,7.5,Greg Llacer,24.0,7.3,Greg Llacer,23.0,7.6,Gerry Miller,24.0,7.5,Gerry Miller,24.0,7.7,Marty Griffin,25.0,7.1,Marty Griffin,25.0,7.4,Steven Page,25.0,7.2,Steven Page,23.0,7.5,,,,Mark Teal,25.0,7.2,Mark Teal,25.0,7.4,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,25.0,7.3,Jim Sturgeon,24.0,7.6,Michael Turner,25.0,7.3,Michael Turner,23.0,7.5,,,
Madison Scouts,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,88.075,12,Warren Rickart,10.0,8.95,Warren Rickart,12.0,8.75,Greg Llacer,11.0,8.75,Greg Llacer,10.0,8.85,Gerry Miller,10.0,8.8,Gerry Miller,12.0,8.8,Marty Griffin,13.0,8.6,Marty Griffin,11.0,9,Steven Page,12.0,8.7,Steven Page,12.0,8.8,,,,Mark Teal,13.0,8.75,Mark Teal,14.0,8.85,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,10.0,8.9,Jim Sturgeon,11.0,8.8,Michael Turner,10.0,8.7,Michael Turner,10.0,8.8,,,
Mandarins,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,92.525,7,Warren Rickart,8.0,9.2,Warren Rickart,8.0,9.2,Greg Llacer,8.0,9.1,Greg Llacer,6.0,9.2,Gerry Miller,6.0,9.4,Gerry Miller,6.0,9.3,Marty Griffin,6.0,9.3,Marty Griffin,7.0,9.4,Steven Page,7.0,9.2,Steven Page,7.0,9.3,,,,Mark Teal,9.0,9.3,Mark Teal,10.0,9.25,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,7.0,9.2,Jim Sturgeon,7.0,9.2,Michael Turner,6.0,9.2,Michael Turner,5.0,9.2,,,
Music City,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,82.625,17,Warren Rickart,17.0,8.3,Warren Rickart,20.0,8,Greg Llacer,16.0,8.35,Greg Llacer,17.0,8.35,Gerry Miller,18.0,8.15,Gerry Miller,17.0,8.4,Marty Griffin,17.0,8.2,Marty Griffin,18.0,8.3,Steven Page,16.0,8.3,Steven Page,17.0,8.3,,,,Mark Teal,16.0,8.6,Mark Teal,16.0,8.7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,16.0,8.35,Jim Sturgeon,19.0,8.1,Michael Turner,20.0,7.7,Michael Turner,20.0,7.8,,,
Pacific Crest,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,86.35,13,Warren Rickart,11.0,8.9,Warren Rickart,9.0,9,Greg Llacer,13.0,8.65,Greg Llacer,15.0,8.45,Gerry Miller,13.0,8.6,Gerry Miller,13.0,8.7,Marty Griffin,12.0,8.7,Marty Griffin,13.0,8.8,Steven Page,14.0,8.5,Steven Page,14.0,8.6,,,,Mark Teal,14.0,8.7,Mark Teal,15.0,8.75,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,14.0,8.5,Jim Sturgeon,12.0,8.75,Michael Turner,17.0,8.1,Michael Turner,15.0,8.3,,,
Phantom Regiment,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,95.325,4,Warren Rickart,6.0,9.3,Warren Rickart,7.0,9.3,Greg Llacer,4.0,9.45,Greg Llacer,4.0,9.45,Gerry Miller,3.0,9.6,Gerry Miller,3.0,9.6,Marty Griffin,5.0,9.4,Marty Griffin,4.0,9.6,Steven Page,5.0,9.45,Steven Page,5.0,9.55,,,,Mark Teal,5.0,9.6,Mark Teal,5.0,9.7,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,5.0,9.4,Jim Sturgeon,3.0,9.6,Michael Turner,3.0,9.5,Michael Turner,3.0,9.6,,,
Santa Clara Vanguard,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,93.463,6,Warren Rickart,7.0,9.25,Warren Rickart,5.0,9.45,Greg Llacer,6.0,9.3,Greg Llacer,7.0,9.1,Gerry Miller,8.0,9,Gerry Miller,7.0,9.25,Marty Griffin,7.0,9.2,Marty Griffin,6.0,9.45,Steven Page,6.0,9.3,Steven Page,6.0,9.4,,,,Mark Teal,1.0,9.85,Mark Teal,1.0,9.9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,6.0,9.3,Jim Sturgeon,5.0,9.4,Michael Turner,7.0,9,Michael Turner,6.0,9.1,,,
Seattle Cascades,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,76.075,23,Warren Rickart,24.0,7.5,Warren Rickart,23.0,7.7,Greg Llacer,22.0,7.5,Greg Llacer,22.0,7.7,Gerry Miller,22.0,7.7,Gerry Miller,21.0,8,Marty Griffin,24.0,7.3,Marty Griffin,23.0,7.7,Steven Page,23.0,7.4,Steven Page,24.0,7.4,,,,Mark Teal,23.0,7.5,Mark Teal,23.0,7.6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,23.0,7.6,Jim Sturgeon,21.0,7.9,Michael Turner,22.0,7.6,Michael Turner,22.0,7.6,,,
Spartans,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,81.525,19,Warren Rickart,20.0,8,Warren Rickart,18.0,8.2,Greg Llacer,18.0,8.1,Greg Llacer,18.0,8.3,Gerry Miller,21.0,7.8,Gerry Miller,22.0,7.95,Marty Griffin,20.0,7.8,Marty Griffin,19.0,8.2,Steven Page,21.0,7.6,Steven Page,21.0,7.7,,,,Mark Teal,19.0,8.4,Mark Teal,19.0,8.5,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,19.0,8.2,Jim Sturgeon,16.0,8.5,Michael Turner,13.0,8.5,Michael Turner,12.0,8.5,,,
Spirit of Atlanta,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,83.875,16,Warren Rickart,16.0,8.35,Warren Rickart,15.0,8.55,Greg Llacer,17.0,8.3,Greg Llacer,14.0,8.5,Gerry Miller,16.0,8.25,Gerry Miller,16.0,8.45,Marty Griffin,15.0,8.4,Marty Griffin,15.0,8.6,Steven Page,18.0,8.1,Steven Page,16.0,8.4,,,,Mark Teal,12.0,8.8,Mark Teal,12.0,9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,18.0,8.25,Jim Sturgeon,17.0,8.4,Michael Turner,19.0,7.8,Michael Turner,19.0,7.9,,,
The Academy,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,82.175,18,Warren Rickart,19.0,8.2,Warren Rickart,17.0,8.3,Greg Llacer,20.0,7.8,Greg Llacer,19.0,8.2,Gerry Miller,17.0,8.2,Gerry Miller,18.0,8.3,Marty Griffin,18.0,8.1,Marty Griffin,16.0,8.5,Steven Page,17.0,8.2,Steven Page,18.0,8.2,,,,Mark Teal,17.0,8.5,Mark Teal,17.0,8.6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,20.0,8.1,Jim Sturgeon,20.0,8,Michael Turner,15.0,8.3,Michael Turner,16.0,8.2,,,
The Battalion,DCI World Championship Semifinals,2024-08-09,"Indianapolis, IN",John Phillips,2024,74.425,24,Warren Rickart,25.0,7.3,Warren Rickart,24.0,7.6,Greg Llacer,25.0,7.1,Greg Llacer,24.0,7.4,Gerry Miller,25.0,7.4,Gerry Miller,25.0,7.6,Marty Griffin,23.0,7.4,Marty Griffin,24.0,7.5,Steven Page,24.0,7.3,Steven Page,25.0,7.3,,,,Mark Teal,24.0,7.4,Mark Teal,24.0,7.5,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Sturgeon,24.0,7.4,Jim Sturgeon,25.0,7.3,Michael Turner,24.0,7.4,Michael Turner,25.0,7.3,,,
