corps,event_name,date,location,chief_judge,season,total_score,total_rank,color_guard_achievement_judge,color_guard_achievement_rank,color_guard_achievement_score,color_guard_content_judge,color_guard_content_rank,color_guard_content_score,general_effect_1_performance_judge,general_effect_1_performance_rank,general_effect_1_performance_score,general_effect_1_repertoire_judge,general_effect_1_repertoire_rank,general_effect_1_repertoire_score,general_effect_2_performance_judge,general_effect_2_performance_rank,general_effect_2_performance_score,general_effect_2_repertoire_judge,general_effect_2_repertoire_rank,general_effect_2_repertoire_score,music_analysis_achievement_judge,music_analysis_achievement_rank,music_analysis_achievement_score,music_analysis_content_judge,music_analysis_content_rank,music_analysis_content_score,music_brass_achievement_judge,music_brass_achievement_rank,music_brass_achievement_score,music_brass_content_judge,music_brass_content_rank,music_brass_content_score,music_brass_continuity_judge,music_brass_continuity_rank,music_brass_continuity_score,music_percussion_achievement_judge,music_percussion_achievement_rank,music_percussion_achievement_score,music_percussion_content_judge,music_percussion_content_rank,music_percussion_content_score,music_percussion_continuity_judge,music_percussion_continuity_rank,music_percussion_continuity_score,penalties_judge,penalties_rank,penalties_score,special_brass_friday_judge,special_brass_friday_rank,special_brass_friday_score,special_brass_thursday_judge,special_brass_thursday_rank,special_brass_thursday_score,special_cg_friday_judge,special_cg_friday_rank,special_cg_friday_score,special_cg_thursday_judge,special_cg_thursday_rank,special_cg_thursday_score,special_ge_friday_judge,special_ge_friday_rank,special_ge_friday_score,special_ge_thursday_judge,special_ge_thursday_rank,special_ge_thursday_score,special_perc_friday_judge,special_perc_friday_rank,special_perc_friday_score,special_perc_thursday_judge,special_perc_thursday_rank,special_perc_thursday_score,special_visual_proficiency_friday_judge,special_visual_proficiency_friday_rank,special_visual_proficiency_friday_score,special_visual_proficiency_thursday_judge,special_visual_proficiency_thursday_rank,special_visual_proficiency_thursday_score,visual_analysis_achievement_judge,visual_analysis_achievement_rank,visual_analysis_achievement_score,visual_analysis_composition_judge,visual_analysis_composition_rank,visual_analysis_composition_score,visual_proficiency_achievement_judge,visual_proficiency_achievement_rank,visual_proficiency_achievement_score,visual_proficiency_content_judge,visual_proficiency_content_rank,visual_proficiency_content_score,visual_proficiency_continuity_judge,visual_proficiency_continuity_rank,visual_proficiency_continuity_score
Colts,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,79.875,14,Hieu Nguyen,17.0,7.65,Hieu Nguyen,15.0,8,Mike Anderson,15.0,8,Mike Anderson,16.0,8,Ted Wemhoff,15.0,7.9,Ted Wemhoff,14.0,8.1,Chris Romanowski,14.0,7.9,Chris Romanowski,15.0,8,Mark Hoskins,14.0,8.2,Mark Hoskins,15.0,8.2,,,,Jeff Prosperie,14.0,7.9,Jeff Prosperie,12.0,8.1,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,15.0,8.1,William Chumley,14.0,8.1,Carl Nelson,16.0,7.8,Carl Nelson,15.0,8.1,,,
Crossmen,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,84.213,11,Hieu Nguyen,11.0,8.2,Hieu Nguyen,11.0,8.4,Mike Anderson,12.0,8.5,Mike Anderson,10.0,8.5,Ted Wemhoff,10.0,8.5,Ted Wemhoff,10.0,8.5,Chris Romanowski,13.0,8,Chris Romanowski,12.0,8.35,Mark Hoskins,11.0,8.4,Mark Hoskins,10.0,8.6,,,,Jeff Prosperie,9.0,8.45,Jeff Prosperie,11.0,8.4,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,11.0,8.5,William Chumley,9.0,8.5,Carl Nelson,11.0,8.4,Carl Nelson,11.0,8.5,,,
Genesis,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,73.55,19,Hieu Nguyen,19.0,7.2,Hieu Nguyen,19.0,7.5,Mike Anderson,19.0,7.5,Mike Anderson,20.0,7.3,Ted Wemhoff,21.0,7.1,Ted Wemhoff,19.0,7.5,Chris Romanowski,22.0,6.6,Chris Romanowski,22.0,6.9,Mark Hoskins,20.0,7.4,Mark Hoskins,20.0,7.45,,,,Jeff Prosperie,21.0,7.1,Jeff Prosperie,21.0,7.2,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,19.0,7.5,William Chumley,19.0,7.4,Carl Nelson,19.0,7.3,Carl Nelson,19.0,7.6,,,
Jersey Surf,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,71.15,21,Hieu Nguyen,20.0,7,Hieu Nguyen,20.0,7.4,Mike Anderson,21.0,7.1,Mike Anderson,21.0,7,Ted Wemhoff,20.0,7.2,Ted Wemhoff,21.0,7.3,Chris Romanowski,20.0,6.9,Chris Romanowski,20.0,7.1,Mark Hoskins,21.0,7.2,Mark Hoskins,21.0,7.4,,,,Jeff Prosperie,20.0,7.2,Jeff Prosperie,20.0,7.25,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,22.0,6.9,William Chumley,21.0,7,Carl Nelson,21.0,7,Carl Nelson,20.0,7.4,,,
Madison Scouts,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,77.1,17,Hieu Nguyen,16.0,7.7,Hieu Nguyen,18.0,7.6,Mike Anderson,17.0,7.85,Mike Anderson,19.0,7.5,Ted Wemhoff,19.0,7.4,Ted Wemhoff,17.0,7.8,Chris Romanowski,18.0,7.3,Chris Romanowski,18.0,7.5,Mark Hoskins,17.0,7.8,Mark Hoskins,17.0,8,,,,Jeff Prosperie,15.0,7.85,Jeff Prosperie,15.0,7.8,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,17.0,7.9,William Chumley,18.0,7.5,Carl Nelson,17.0,7.7,Carl Nelson,17.0,7.8,,,
Mandarins,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,85.05,10,Hieu Nguyen,10.0,8.5,Hieu Nguyen,8.0,8.8,Mike Anderson,9.0,8.65,Mike Anderson,9.0,8.7,Ted Wemhoff,11.0,8.4,Ted Wemhoff,9.0,8.7,Chris Romanowski,11.0,8.2,Chris Romanowski,11.0,8.4,Mark Hoskins,15.0,8.1,Mark Hoskins,13.0,8.35,,,,Jeff Prosperie,13.0,7.95,Jeff Prosperie,14.0,7.9,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,9.0,8.6,William Chumley,10.0,8.45,Carl Nelson,7.0,8.8,Carl Nelson,8.0,8.8,,,
Music City,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,73.25,20,Hieu Nguyen,21.0,6.8,Hieu Nguyen,21.0,7.3,Mike Anderson,20.0,7.3,Mike Anderson,17.0,7.65,Ted Wemhoff,18.0,7.5,Ted Wemhoff,20.0,7.4,Chris Romanowski,19.0,7.1,Chris Romanowski,19.0,7.2,Mark Hoskins,18.0,7.7,Mark Hoskins,18.0,7.8,,,,Jeff Prosperie,19.0,7.3,Jeff Prosperie,19.0,7.3,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,20.0,7.4,William Chumley,20.0,7.2,Carl Nelson,20.0,7.2,Carl Nelson,21.0,7.3,,,
Pacific Crest,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,79.25,16,Hieu Nguyen,13.0,8,Hieu Nguyen,14.0,8.1,Mike Anderson,16.0,7.95,Mike Anderson,15.0,8.1,Ted Wemhoff,16.0,7.8,Ted Wemhoff,15.0,8,Chris Romanowski,16.0,7.5,Chris Romanowski,16.0,7.8,Mark Hoskins,13.0,8.25,Mark Hoskins,13.0,8.35,,,,Jeff Prosperie,16.0,7.8,Jeff Prosperie,18.0,7.4,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,16.0,8,William Chumley,16.0,7.9,Carl Nelson,14.0,8.1,Carl Nelson,14.0,8.2,,,
Phantom Regiment,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,83.725,12,Hieu Nguyen,14.0,7.9,Hieu Nguyen,12.0,8.3,Mike Anderson,11.0,8.55,Mike Anderson,11.0,8.4,Ted Wemhoff,13.0,8.1,Ted Wemhoff,13.0,8.2,Chris Romanowski,9.0,8.4,Chris Romanowski,10.0,8.5,Mark Hoskins,10.0,8.5,Mark Hoskins,9.0,8.7,,,,Jeff Prosperie,11.0,8.35,Jeff Prosperie,9.0,8.6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,12.0,8.45,William Chumley,13.0,8.2,Carl Nelson,12.0,8.3,Carl Nelson,12.0,8.4,,,
Santa Clara Vanguard,DCI Southeastern Championship,2019-07-27,"Atlanta, GA",Garland Markham,2019,93.25,3,Hieu Nguyen,4.0,9.15,Hieu Nguyen,3.0,9.25,Mike Anderson,3.0,9.25,Mike Anderson,3.0,9.3,Ted Wemhoff,2.0,9.4,Ted Wemhoff,3.0,9.3,Chris Romanowski,2.0,9.35,Chris Romanowski,2.0,9.45,Mark Hoskins,4.0,9.2,Mark Hoskins,5.0,9.2,,,,Jeff Prosperie,1.0,9.5,Jeff Prosperie,1.0,9.6,,,,Tony DiCarlo,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Chumley,3.0,9.35,William Chumley,3.0,9.35,Carl Nelson,3.0,9.3,Carl Nelson,2.0,9.5,,,
